category_code,en_caption,vi_caption,report_type
BS_319,7. Payables from errors in financial asset transactions,7. Phải trả về lỗi giao dịch các tài sản tài chính,balance_sheet
BS_320,8. Payables to short-term suppliers,8. Phải trả người bán ngắn hạn,balance_sheet
BS_321,9. Advances from customers,9. Người mua trả tiền trước,balance_sheet
BS_322,10. Taxes and amounts payable to the government,10. Thuế và các khoản phải nộp nhà nước,balance_sheet
BS_323,11. Payables to employees,11. Phải trả người lao động,balance_sheet
BS_324,12. Employee welfare fund contributions,12. Các khoản trích nộp phúc lợi nhân viên,balance_sheet
BS_325,13. Short-term accrued expenses,13. Chi phí phải trả ngắn hạn,balance_sheet
BS_326,14. Internal payables - short term,14. Phải trả nội bộ ngắn hạn,balance_sheet
BS_327,15. Short-term deferred revenue,15. Doanh thu chưa thực hiện ngắn hạn,balance_sheet
BS_328,16. Short-term deposits and collateral received,"16. Nhận ký quỹ, ký cược ngắn hạn",balance_sheet
BS_329,17. Other short-term payables and liabilities,"17.Các khoản phải trả, phải nộp khác ngắn hạn",balance_sheet
BS_330,18. Short-term provisions,18. Dự phòng phải trả ngắn hạn,balance_sheet
BS_331,19. Employee welfare fund,12. Quỹ khen thưởng phúc lợi,balance_sheet
BS_340,II. Long-term Liabilities,II. Nợ phải trả dài hạn,balance_sheet
BS_346,4. Long-term issued bonds,4. Trái phiếu phát hành dài hạn,balance_sheet
BS_347,5. Long-term payables to suppliers,5. Phải trả người bán dài hạn,balance_sheet
BS_348,6. Advances from long-term customers,6. Người mua trả tiền trước dài hạn,balance_sheet
BS_349,7. Long-term accrued expenses,7. Chi phí phải trả dài hạn,balance_sheet
BS_350,8. Internal payables - long term,8. Phải trả nội bộ dài hạn,balance_sheet
BS_351,9. Long-term deferred revenue,9. Doanh thu chưa thực hiện dài hạn,balance_sheet
BS_352,10. Long-term deposits and collateral received,"10. Nhận ký quỹ, ký cược dài hạn",balance_sheet
BS_353,11. Other long-term payables and liabilities,"11. Các khoản phải trả, phải nộp khác dài hạn",balance_sheet
BS_354,12. Long-term provisions,12. Dự phòng phải trả dài hạn,balance_sheet
BS_355,13. Provision for compensation to investors,13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,balance_sheet
BS_356,14. Deferred tax liabilities,14. Thuế thu nhập hoãn lại phải trả,balance_sheet
BS_357,15. Science and technology development fund,15. Quỹ phát triển khoa học và công nghệ,balance_sheet
BS_400,D. OWNER'S EQUITY,D. VỐN CHỦ SỞ HỮU,balance_sheet
BS_410,I. Owner's Equity,I. Vốn chủ sở hữu,balance_sheet
BS_411,1. Owner's capital,1. Vốn đầu tư của chủ sở hữu,balance_sheet
BS_411.1,1.1. Contributed capital from owners,1.1. Vốn góp của chủ sở hữu,balance_sheet
BS_411.2,1.2. Share premium,1.2. Thặng dư vốn cổ phần,balance_sheet
BS_411.3,1.3. Convertible bond options,1.3. Quyền chọn chuyển đổi trái phiếu,balance_sheet
BS_411.4,1.4. Other owner's capital,1.4. Vốn khác của chủ sở hữu,balance_sheet
BS_411.5,1.5. Treasury shares,1.5. Cổ phiếu quỹ,balance_sheet
BS_412,2. Revaluation differences on assets at fair value,2. Chênh lệch đánh giá tài sản theo giá trị hợp lý,balance_sheet
BS_413,3. Foreign exchange differences,3. Chênh lệch tỷ giá hối đoái,balance_sheet
BS_414,4. Statutory reserves,4. Quỹ dự trữ điều lệ,balance_sheet
BS_415,5. Financial reserves and professional risk reserves,5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,balance_sheet
BS_416,6. Other reserves in owner's equity,6. Các Quỹ khác thuộc vốn chủ sở hữu,balance_sheet
BS_417,7. Undistributed profits,7. Lợi nhuận chưa phân phối,balance_sheet
BS_417.1,7.1. Realized profits,7.1. Lợi nhuận đã thực hiện,balance_sheet
BS_417.2,7.2. Unrealized profits,7.2. Lợi nhuận chưa thực hiện,balance_sheet
BS_418,8. Non-controlling interests,8. Lợi ích của cổ đông không nắm quyền kiểm soát,balance_sheet
BS_440,TOTAL LIABILITIES AND OWNER'S EQUITY,TỔNG CỘNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,balance_sheet
IS_001,1.1. Interest from financial assets measured at fair value through profit or loss (FVTPL),1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),income_statement
IS_001.1,a. Gain on sale of financial assets,a. Lãi bán các tài sản tài chính,income_statement
IS_001.2,b. Revaluation gain on financial assets measured at fair value through profit or loss (FVTPL),b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,income_statement
IS_001.3,"c. Dividends, interest income from financial assets (FVTPL)","c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",income_statement
IS_001.4,d. Revaluation loss on outstanding warrants payable,d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,income_statement
IS_010,Revenue from financial advisory services,Doanh thu hoạt động tư vấn tài chính,income_statement
IS_100,X. CORPORATE INCOME TAX EXPENSE,X. CHI PHÍ THUẾ TNDN,income_statement
IS_100.1,10.1. Current corporate income tax expense,10.1. Chi phí thuế TNDN hiện hành,income_statement
IS_100.2,10.2. Deferred corporate income tax expense,10.2. Chi phí thuế TNDN hoãn lại,income_statement
IS_011,1.11. Other operating income,1.11. Thu nhập hoạt động khác,income_statement
IS_002,1.2. Interest from held-to-maturity investments (HTM),1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),income_statement
IS_020,Total operating revenue,Cộng doanh thu hoạt động,income_statement
IS_200,XI. PROFIT AFTER CORPORATE INCOME TAX,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,income_statement
IS_201,11.1. Profit after tax attributable to owners of the company,11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,income_statement
IS_202,"11.2. Profit after tax allocated to statutory reserves, financial reserves, and professional risk reserves as per the company's charter","11.2. Lợi nhuận sau thuế trích các Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",income_statement
IS_203,11.3. Net profit attributable to non-controlling interests,11.3. Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,income_statement
IS_021,2.1. Loss from financial assets measured at fair value through profit or loss (FVTPL),2.1. Lỗ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),income_statement
IS_021.1,a. Loss on sale of financial assets,a. Lỗ bán các tài sản tài chính,income_statement
IS_021.2,b. Revaluation loss on financial assets measured at fair value through profit or loss (FVTPL),b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,income_statement
IS_021.3,c. Transaction costs for purchasing financial assets (FVTPL),c. c.Chi phí giao dịch mua các tài sản tài chính FVTPL,income_statement
IS_021.4,d. Revaluation gain on outstanding warrants payable,d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,income_statement
IS_022,2.2. Loss from held-to-maturity investments (HTM),2.2. Lỗ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),income_statement
IS_023,2.4. Loss on sale of available-for-sale (AFS) financial assets,2.4. Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),income_statement
IS_024,"Provision expenses for financial assets, bad debt write-offs, financial asset impairment, and borrowing costs","Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi, lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay",income_statement
IS_026,2.6. Proprietary trading expenses,2.6. Chi phí hoạt động tự doanh,income_statement
IS_027,2.7. Brokerage commission expenses,2.7. Chi phí môi giới chứng khoán,income_statement
IS_028,2.8. Underwriting and issuance agent expenses,"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng khoán",income_statement
IS_029,2.9. Investment advisory expenses,2.9. Chi phí tư vấn đầu tư chứng khoán,income_statement
IS_003,1.3. Interest from loans and receivables,1.3. Lãi từ các khoản cho vay và phải thu,income_statement
IS_030,2.11. Custody expenses,2.11. Chi phí lưu ký chứng khoán,income_statement
IS_300,XII. OTHER COMPREHENSIVE INCOME (LOSS) AFTER TAX,XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,income_statement
IS_032,2.12. Other expenses,2.12. Chi phí khác,income_statement
IS_004,1.4. Interest from available-for-sale (AFS) financial assets,1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),income_statement
IS_040,Total operating expenses,Cộng chi phí hoạt động,income_statement
IS_400,Total comprehensive income,Tổng thu nhập toàn diện,income_statement
IS_401,Comprehensive income attributable to owners of the company,Thu nhập toàn diện phân bổ cho chủ sở hữu,income_statement
IS_041,3.1. Exchange rate gain (realized and unrealized),3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,income_statement
IS_042,"3.2. Revenue, accrued dividend, and interest from non-fixed deposits generated during the period","3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",income_statement
IS_043,"3.3. Gain on sale and liquidation of investments in subsidiaries, associates, and joint ventures","3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",income_statement
IS_044,3.4. Other investment revenue,3.4. Doanh thu khác về đầu tư,income_statement
IS_050,Total financial revenue,Cộng doanh thu hoạt động tài chính,income_statement
IS_500,XIII. EARNINGS PER COMMON SHARE,XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,income_statement
IS_501,13.1. Basic earnings per share (VND/share),13.1. Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu),income_statement
IS_502,13.2. Diluted earnings per share (VND/share),13.2. Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),income_statement
IS_051,4.1. Exchange rate loss (realized and unrealized),4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện,income_statement
IS_052,4.2. Interest expenses,4.2. Chi phí lãi vay,income_statement
IS_053,Provision expenses for impairment of long-term financial investments,Chi phí dự phòng suy giảm giá trị các khoản đầu tư tài chính dài hạn,income_statement
IS_054,4.4. Other financial expenses,4.4. chi phí tài chính khác,income_statement
IS_006,1.6. Brokerage commission revenue,1.6. Doanh thu môi giới chứng khoán,income_statement
IS_060,Total financial expenses,Cộng chi phí tài chính,income_statement
IS_007,1.7. Underwriting and issuance agent revenue,"1.7. Doanh thu bảo lãnh, đại lý phát hành chứng khoán",income_statement
IS_071,8.1. Other income,8.1. Thu nhập khác,income_statement
IS_072,8.2. Other expenses,8.2. Chi phí khác,income_statement
IS_008,1.8. Investment advisory revenue,1.8. Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán,income_statement
IS_080,Total other operating results,Cộng kết quả hoạt động khác,income_statement
IS_009,1.10. Custody revenue,1.10. Doanh thu lưu ký chứng khoán,income_statement
IS_090,IX. TOTAL ACCOUNTING PROFIT BEFORE TAX,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,income_statement
IS_091,9.1. Realized profit,9.1. Lợi nhuận đã thực hiện,income_statement
IS_092,9.2. Unrealized profit,9.2. Lợi nhuận chưa thực hiện,income_statement
CF_001,Profit before corporate income tax,Lợi nhuận trước thuế TNDN,cash_flow_statement
CF_003,Depreciation of fixed assets,Khấu hao tài sản cố định,cash_flow_statement
CF_004,Provisions,Các khoản dự phòng,cash_flow_statement
CF_007,Profit/loss from investment activities,Lãi/lỗ hoạt động đầu tư,cash_flow_statement
CF_006,Interest expenses,Chi phí lãi vay,cash_flow_statement
CF_008,Accrued interest income,Dự thu tiền lãi,cash_flow_statement
CF_030,Profit from operating activities before changes in working capital,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,cash_flow_statement
CF_039,Increase/decrease in other receivables,Tăng/giảm các khoản phải thu khác,cash_flow_statement
CF_050,Increase/decrease in other payables,Tăng/giảm các khoản phải trả khác,cash_flow_statement
CF_042,Increase/decrease in prepaid expenses,Tăng/giảm chi phí trả trước,cash_flow_statement
CF_044,Interest payable,Lãi vay phải trả,cash_flow_statement
CF_043,Corporate income tax paid,Thuế TNDN đã trả,cash_flow_statement
CF_060,Net cash flow from operating activities,Lưu chuyển tiền thuần từ hoạt động kinh doanh,cash_flow_statement
CF_061,Cash paid for the purchase of fixed assets and other long-term assets,Tiền mua tài sản cố định và các tài sản dài hạn khác,cash_flow_statement
CF_062,Proceeds from the liquidation of fixed assets,Tiền thu được từ thanh lý tài sản cố định,cash_flow_statement
CF_070,Net cash flow from investing activities,Lưu chuyển tiền thuần từ hoạt động đầu tư,cash_flow_statement
CF_073,Loan principal received,Tiền vay gốc,cash_flow_statement
CF_074,Loan principal repayment,Tiền chi trả nợ gốc vay,cash_flow_statement
CF_080,Cash flow from financing activities,Lưu chuyển tiền tệ từ hoạt động tài chính,cash_flow_statement
CF_090,Net cash flow for the period,LƯU CHUYỂN TIỀN THUẦN TRONG KỲ,cash_flow_statement
CF_101,Cash and cash equivalents at the beginning of the period,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN ĐẦU KỲ,cash_flow_statement
CF_103,Cash and cash equivalents at the end of the period,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI KỲ,cash_flow_statement
IS_040.1,Gross profit from sales and services rendered,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,income_statement
