old_caption,category_code,vi_caption,en_caption
1.Thu nhập lãi và các khoản thu nhập tương tự,IS_001,     Thu nhập lãi và các khoản thu nhập tương tự,Interest income and similar income
2. Chi phí lãi và các chi phí tương tự,IS_002,     Chi phí lãi và các chi phí tương tự,Interest expenses and similar expenses
II. Lãi/lỗ thuần từ hoạt động dịch vụ,IS_006,Lãi/Lỗ thuần từ hoạt động dịch vụ,Net gain/loss from service activities
3. Thu nhập từ hoạt động dịch vụ,IS_004,     Thu nhập từ hoạt động dịch vụ,Income from service activities
4. Chi phí hoạt động dịch vụ,IS_005,     Chi phí hoạt động dịch vụ,Service activity expenses
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,IS_007,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign exchange and gold trading
IV. Lãi /lỗ thuần từ mua bán chứng khoán kinh doanh,IS_008,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading securities
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,IS_009,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from investment securities
VI. Lãi/lỗ thuần từ hoạt động khác,IS_012,Lãi/(lỗ) thuần từ hoạt động khác,Net gain/(loss) from other activities
5. Thu nhập từ hoạt động khác,IS_010,     Thu nhập từ hoạt động khác,Income from other activities
6. Chi phí hoạt động khác,IS_011,     Chi phí hoạt động khác,Expenses from other activities
"VII. Thu nhập từ góp vốn, mua cổ phần",IS_013,"Thu nhập từ góp vốn, mua cổ phần","Income from capital contributions, share purchases"
,IS_030,Tổng thu nhập hoạt động,Total operating income
VIII. Chi phí hoạt động,IS_014,Chi phí hoạt động,Operating expenses
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,IS_015,LN thuần từ hoạt động kinh doanh trước CF dự phòng rủi ro tín dụng,Net profit from business activities before credit risk provision expenses
X. Chi phí dự phòng rủi ro tín dụng,IS_016,Chi phí dự phòng rủi ro tín dụng,Credit risk provision expenses
XI. Tổng lợi nhuận trước thuế,IS_017,Tổng lợi nhuận trước thuế,Total profit before tax
XII. Chi phí thuế TNDN,IS_020,Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expense
7. Chi phí thuế TNDN hiện hành,IS_018,     Chi phí thuế TNDN hiện hành,Current corporate income tax expense
8. Chi phí thuế TNDN hoãn lại,IS_019,     Chi phí thuế TNDN hoãn lại,Deferred corporate income tax expense
XIII. Lợi nhuận sau thuế,IS_021,Lợi nhuận sau thuế,Profit after tax
XIV. Lợi ích của cổ đông thiểu số,IS_022,Lợi ích của cổ đông thiểu số,Non-controlling interests
,IS_022.1,Cổ đông của Công ty mẹ,Shareholders of the Parent Company
XV. Lãi cơ bản trên cổ phiếu,IS_023,Lãi cơ bản trên cổ phiếu (VND),Basic earnings per share (VND)
,IS_024,Lãi trên cổ phiếu pha loãng (VND),Diluted earnings per share (VND)
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,CF_001,     Thu nhập lãi và các khoản thu nhập tương tự nhận được,Interest income and similar income received
2. Chi phí lãi và các chi phí tương tự đã trả,CF_002,     Chi phí lãi và các chi phí tương tự đã trả,Interest expenses and similar expenses paid
3. Thu nhập từ hoạt động dịch vụ nhận được,CF_003,     Thu nhập từ hoạt động dịch vụ nhận được,Income from service activities received
"4. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh(ngoại tệ,vàng bạc,chứng khoán)",CF_004,     Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh,Net realized gain/(loss) from trading activities
5. Thu nhập khác,CF_005,     Thu nhập khác,Other income
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",CF_006,"     Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro","Collection of debts previously written off, provisioned for using risk reserves"
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ(*)",CF_007,"     Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ",Payments to employees and for management and operational activities
8. Tiền thuế thu nhập thực nộp trong kỳ(*),CF_008,     Tiền thuế thu nhập thực nộp trong kỳ,Corporate income tax actually paid during the period
B. Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,CF_009,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Net cash flow from operating activities before changes in operating assets and liabilities
9. (Tăng)/Giảm các khoản tiền gửi và cho vay các TCTD khác,CF_010,     Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Increase/decrease in deposits with and loans to other credit institutions
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,CF_011,     Tăng/giảm các khoản về kinh doanh chứng khoán,Increase/decrease in trading securities
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,CF_012,     Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Increase/decrease in derivative financial instruments and other financial assets
12. (Tăng)/Giảm các khoản cho vay khách hàng,CF_013,     Tăng/giảm các khoản cho vay khách hàng,Increase/decrease in loans to customers
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,CF_014,     Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Increase/decrease in provisions to cover losses
14. (Tăng)/Giảm khác về tài sản hoạt động,CF_015,     Tăng/giảm khác về tài sản hoạt động,Increase/decrease in other operating assets
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,CF_016,     Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Increase/(Decrease) in amounts owed to the Government and the State Bank
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",CF_017,     Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Increase/(Decrease) in deposits and borrowings from other credit institutions
17. Tăng/(Giảm) tiền gửi của khách hàng(bao gồm cả kho bạc nhà nước),CF_018,     Tăng/(Giảm) tiền gửi của khách hàng,Increase/(Decrease) in customer deposits
18. Tăng(/Giảm) phát hành giấy tờ có giá(ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),CF_019,     Tăng/(Giảm) phát hành giấy tờ có giá,Increase/(Decrease) in issuance of valuable papers
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",CF_020,"     Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác","Increase/(Decrease) in funds for financing, investment entrustment from the Government and other credit institutions"
20. Tăng/ (Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,CF_021,     Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Increase/(Decrease) in derivative financial instruments and other financial liabilities
21. Tăng/ (Giảm) khác về công nợ hoạt động,CF_022,     Tăng/(Giảm) khác về công nợ hoạt động,Increase/(Decrease) in other operating liabilities
22. Chi từ các quỹ của TCTD(*),CF_023,     Chi từ các quỹ của TCTD,Payments from the credit institution's funds
I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_024,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,Net cash flow from operating activities
1. Mua sắm tài sản cố định(*),CF_025,     Mua sắm TSCĐ,Purchase of fixed assets
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",CF_026,"     Tiền thu được từ thanh lý, nhượng bán tài sản cố định",Proceeds from disposal of fixed assets
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ(*)",CF_027,"     Tiền chi từ thanh lý, nhượng bán TSCĐ",Payments from disposal of fixed assets
4. Mua sắm bất động sản đầu tư(*),CF_028,     Mua sắm Bất động sản đầu tư,Purchase of investment properties
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",CF_029,"     Tiền thu từ bán, thanh lý bất động sản đầu tư",Proceeds from sale of investment properties
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư (*)",CF_030,"     Tiền chi ra do bán, thanh lý bất động sản đầu tư",Payments from sale of investment properties
"7. Tiền chi đầu t­ư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác) (*)",CF_031,"     Tiền chi đầu tư, góp vốn vào các đơn vị khác",Investments in other entities
"8. Tiền thu đầu t­ư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",CF_032,"     Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",Proceeds from investments in other entities
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",CF_033,     Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,Dividends and profit received from long-term investments
II. Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_034,Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flow from investing activities
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,CF_035,     Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Increase in share capital from capital contributions and/or share issuance
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,CF_036,     Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Proceeds from issuance of long-term valuable papers eligible as Tier 2 capital and other long-term borrowings
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác(*),CF_037,     Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Payments for redemption of long-term valuable papers eligible as Tier 2 capital and other long-term borrowings
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia(*)",CF_038,"     Cổ tức trả cho cổ đông, lợi nhuận đã chia","Dividends paid to shareholders, profit distributed"
5. Tiền chi ra mua cổ phiếu quỹ (*),CF_039,     Tiền chi ra mua cổ phiếu quỹ,Payments for purchase of treasury shares
6. Tiền thu được do bán cổ phiếu quỹ,CF_040,     Tiền thu được do bán cổ phiếu quỹ,Proceeds from sale of treasury shares
III.Lưu chuyển tiền thuần từ hoạt động tài chính,CF_041,Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash flow from financing activities
IV.Lưu chuyển tiền thuần trong kỳ,CF_042,Lưu chuyển tiền thuần trong kỳ,Net cash flow during the period
V. Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,CF_043,Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,Cash and cash equivalents at the beginning of the period
VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá,CF_044,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,Adjustment for the effects of exchange rate changes
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,CF_045,Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,Cash and cash equivalents at the end of the period
Nợ ngắn hạn,BS_361,Nợ ngắn hạn,Current liabilities
Dư nợ tín dụng,BS_200,Dư nợ tín dụng,Outstanding Credit Balance
