old_caption,category_code,vi_caption,en_caption
1. Phải thu dài hạn của khách hàng,BS_211,     Phải thu khách hàng dài hạn,Long-term trade accounts receivable
2. Trả trước cho người bán dài hạn,BS_212,     Trả trước người bán dài hạn,Long-term advances to suppliers
3. Vốn kinh doanh ở đơn vị trực thuộc,BS_213,     Vốn kinh doanh ở các đơn vị trực thuộc,Working capital in dependent units
4. Phải thu nội bộ dài hạn,BS_214,     Phải thu nội bộ dài hạn,Long-term intercompany receivables
5. Phải thu về cho vay dài hạn,BS_215,     Phải thu về cho vay dài hạn,Receivables for long-term lending
6. Phải thu dài hạn khác,BS_216,     Phải thu dài hạn khác,Other long-term receivables
7. Dự phòng phải thu dài hạn khó đòi,BS_219,     Dự phòng phải thu dài hạn,Allowance for long-term receivables
II.Tài sản cố định,BS_220,Tài sản cố định,Fixed assets
1. Tài sản cố định hữu hình,BS_221,     GTCL TSCĐ hữu hình,Net book value of tangible fixed assets
- Nguyên giá,BS_222,          Nguyên giá TSCĐ hữu hình,Cost of tangible fixed assets
- Giá trị hao mòn lũy kế,BS_223,          Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation of tangible fixed assets
2. Tài sản cố định thuê tài chính,BS_224,     GTCL Tài sản thuê tài chính,Net book value of finance lease assets
- Nguyên giá,BS_225,          Nguyên giá tài sản thuê tài chính,Cost of finance lease assets
- Giá trị hao mòn lũy kế,BS_226,          Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation of finance lease assets
3. Tài sản cố định vô hình,BS_227,     GTCL tài sản cố định vô hình,Net book value of intangible fixed assets
- Nguyên giá,BS_228,          Nguyên giá TSCĐ vô hình,Cost of intangible fixed assets
- Giá trị hao mòn lũy kế,BS_229,          Khấu khao lũy kế TSCĐ vô hình,Accumulated amortization of intangible fixed assets
III. Bất động sản đầu tư,BS_230,Giá trị ròng tài sản đầu tư,Net value of investment property
- Nguyên giá,BS_231,     Nguyên giá tài sản đầu tư,Cost of investment property
- Giá trị hao mòn lũy kế,BS_232,     Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation of investment property
IV. Tài sản dở dang dài hạn,BS_240,Tài sản dở dang dài hạn,Long-term assets in progress
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",BS_241,"     Chi phí sản xuất, kinh doanh dở dang dài hạn",Long-term work in progress
2. Chi phí xây dựng cơ bản dở dang,BS_242,     Xây dựng cơ bản dở dang,Construction in progress
V. Đầu tư tài chính dài hạn,BS_250,Đầu tư dài hạn,Long-term investments
1. Đầu tư vào công ty con,BS_251,     Đầu tư vào các công ty con,Investments in subsidiaries
"2. Đầu tư vào công ty liên kết, liên doanh",BS_252,     Đầu tư vào các công ty liên kết,Investments in associates
3. Đầu tư góp vốn vào đơn vị khác,BS_253,     Đầu tư dài hạn khác,Other long-term investments
4. Dự phòng đầu tư tài chính dài hạn,BS_254,     Dự phòng giảm giá đầu tư dài hạn,Provision for impairment of long-term investments
5. Đầu tư nắm giữ đến ngày đáo hạn,BS_255,     Đầu tư nắm giữ đến ngày đáo hạn,Held-to-maturity investments
VI. Tài sản dài hạn khác,BS_260,Tài sản dài hạn khác,Other non-current assets
1. Chi phí trả trước dài hạn,BS_261,     Trả trước dài hạn,Long-term prepayments
2. Tài sản thuế thu nhập hoãn lại,BS_262,     Thuế thu nhập hoãn lại phải thu,Deferred tax assets
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",BS_263,"     Thiết bị, vật tư, phụ tùng thay thế dài hạn","Long-term equipment, materials, and spare parts"
4. Tài sản dài hạn khác,BS_268,     Các tài sản dài hạn khác,Other non-current assets
5. Lợi thế thương mại,BS_269,     Lợi thế thương mại,Goodwill
TỔNG CỘNG TÀI SẢN,BS_270,TỔNG CỘNG TÀI SẢN,TOTAL ASSETS
C. NỢ PHẢI TRẢ,BS_300,NỢ PHẢI TRẢ,LIABILITIES
I. Nợ ngắn hạn,BS_310,Nợ ngắn hạn,Current liabilities
1. Phải trả người bán ngắn hạn,BS_311,     Phải trả người bán,Trade accounts payable
2. Người mua trả tiền trước ngắn hạn,BS_312,     Người mua trả tiền trước,Customer advances
3. Thuế và các khoản phải nộp nhà nước,BS_313,     Thuế và các khoản phải trả Nhà nước,Taxes and other payables to the State
4. Phải trả người lao động,BS_314,     Phải trả người lao động,Employee benefits payable
5. Chi phí phải trả ngắn hạn,BS_315,     Chi phí phải trả,Accrued expenses
6. Phải trả nội bộ ngắn hạn,BS_316,     Phải trả nội bộ,Intercompany payables
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,BS_317,     Phải trả về xây dựng cơ bản,Payables for capital expenditures
8. Doanh thu chưa thực hiện ngắn hạn,BS_318,     Doanh thu chưa thực hiện ngắn hạn,Short-term unearned revenue
9. Phải trả ngắn hạn khác,BS_319,     Phải trả khác,Other payables
10. Vay và nợ thuê tài chính ngắn hạn,BS_320,     Vay ngắn hạn,Short-term borrowings
11. Dự phòng phải trả ngắn hạn,BS_321,     Dự phòng các khoản phải trả ngắn hạn,Provision for short-term liabilities
12. Quỹ khen thưởng phúc lợi,BS_322,"     Quỹ khen thưởng, phúc lợi",Bonus and welfare fund
13. Quỹ bình ổn giá,BS_323,     Quỹ bình ổn giá,Price stabilization fund
14. Giao dịch mua bán lại trái phiếu Chính phủ,BS_324,     Giao dịch mua bán lại trái phiếu chính phủ,Government bond repurchase agreements
II. Nợ dài hạn,BS_330,Nợ dài hạn,Non-current liabilities
1. Phải trả người bán dài hạn,BS_331,     Phải trả nhà cung cấp dài hạn,Long-term trade accounts payable
2. Người mua trả tiền trước dài hạn,BS_332,     Người mua trả tiền trước dài hạn,Long-term customer advances
3. Chi phí phải trả dài hạn,BS_333,     Chi phí phải trả dài hạn,Long-term accrued expenses
4. Phải trả nội bộ về vốn kinh doanh,BS_334,     Phải trả nội bộ về vốn kinh doanh,Intercompany payables for working capital
5. Phải trả nội bộ dài hạn,BS_335,     Phải trả nội bộ dài hạn,Long-term intercompany payables
6. Doanh thu chưa thực hiện dài hạn,BS_336,     Doanh thu chưa thực hiên,Unearned revenue
7. Phải trả dài hạn khác,BS_337,     Phải trả dài hạn khác,Other long-term payables
8. Vay và nợ thuê tài chính dài hạn,BS_338,     Vay dài hạn,Long-term borrowings
9. Trái phiếu chuyển đổi,BS_339,     Trái phiếu chuyển đổi,Convertible bonds
10. Cổ phiếu ưu đãi,BS_340,     Cổ phiếu ưu đãi,Preferred stock
11. Thuế thu nhập hoãn lại phải trả,BS_341,     Thuế thu nhập hoãn lại phải trả,Deferred tax liabilities
12. Dự phòng phải trả dài hạn,BS_342,     Dự phòng các khoản công nợ dài hạn,Provision for long-term liabilities
13. Quỹ phát triển khoa học và công nghệ,BS_343,     Quỹ phát triển khoa học công nghệ,Science and technology development fund
D.VỐN CHỦ SỞ HỮU,BS_400,VỐN CHỦ SỞ HỮU,EQUITY
I. Vốn chủ sở hữu,BS_410,Vốn và các quỹ,Capital and funds
1. Vốn góp của chủ sở hữu,BS_411,     Vốn góp,Contributed capital
- Cổ phiếu phổ thông có quyền biểu quyết,BS_411a,          Cổ phiếu phổ thông,Common stock
- Cổ phiếu ưu đãi,BS_411b,          Cổ phiếu ưu đãi,Preferred stock
2. Thặng dư vốn cổ phần,BS_412,     Thặng dư vốn cổ phần,Share premium
3. Quyền chọn chuyển đổi trái phiếu,BS_413,     Quyền chọn chuyển đổi trái phiếu,Bond conversion options
4. Vốn khác của chủ sở hữu,BS_414,     Vốn khác,Other capital
5. Cổ phiếu quỹ,BS_415,     Cổ phiếu quỹ,Treasury shares
6. Chênh lệch đánh giá lại tài sản,BS_416,     Chênh lệch đánh giá lại tài sản,Asset revaluation differences
7. Chênh lệch tỷ giá hối đoái,BS_417,     Chênh lệch tỷ giá,Foreign exchange differences
8. Quỹ đầu tư phát triển,BS_418,     Quỹ đầu tư và phát triển,Investment and development fund
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,BS_419,     Quỹ hỗ trợ sắp xếp doanh nghiệp,Enterprise restructuring support fund
10. Quỹ khác thuộc vốn chủ sở hữu,BS_420,     Quỹ khác,Other funds
11. Lợi nhuận sau thuế chưa phân phối,BS_421,     Lãi chưa phân phối,Retained earnings
- LNST chưa phân phối lũy kế đến cuối kỳ trước,BS_421a,          LNST chưa phân phối lũy kế đến cuối kỳ trước,Accumulated undistributed earnings to the end of the prior period
- LNST chưa phân phối kỳ này,BS_421b,          LNST chưa phân phối kỳ này,Undistributed earnings for the current period
12. Nguồn vốn đầu tư XDCB,BS_422,     Lợi ích cổ đông không kiểm soát,Non-controlling interests
13. Lợi ích cổ đông không kiểm soát,BS_429,Vốn Ngân sách nhà nước và quỹ khác,State budget capital and other funds
II. Nguồn kinh phí và quỹ khác,BS_430,     Vốn ngân sách nhà nước,State budget capital
1. Nguồn kinh phí,BS_431,     Nguồn kinh phí đã hình thành TSCĐ,Funds for the acquisition of fixed assets
2. Nguồn kinh phí đã hình thành TSCĐ,BS_432,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,NON-CONTROLLING INTERESTS
TỔNG CỘNG NGUỒN VỐN,BS_440,TỔNG CỘNG NGUỒN VỐN,TOTAL EQUITY AND LIABILITIES
1. Doanh thu bán hàng và cung cấp dịch vụ,IS_001,Doanh thu bán hàng và cung cấp dịch vụ,Revenue from sales of goods and services
2. Các khoản giảm trừ doanh thu,IS_002,Các khoản giảm trừ doanh thu,Revenue deductions
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),IS_010,Doanh thu thuần,Net revenue
4. Giá vốn hàng bán,IS_011,Giá vốn hàng bán,Cost of goods sold
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),IS_020,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Gross profit from sales of goods and services
6. Doanh thu hoạt động tài chính,IS_021,Doanh thu hoạt động tài chính,Financial income
7. Chi phí tài chính,IS_022,Chi phí tài chính,Financial expenses
- Trong đó: Chi phí lãi vay,IS_023,     Trong đó: Chi phí lãi vay,Of which: Interest expense
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",IS_024,Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Share of (profit)/loss of associates (from 2015)
9. Chi phí bán hàng,IS_025,Chi phí bán hàng,Selling expenses
10. Chi phí quản lý doanh nghiệp,IS_026,Chi phí quản lý doanh  nghiệp,General and administrative expenses
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},IS_030,Lãi/(lỗ) từ hoạt động kinh doanh,Profit/(loss) from operating activities
12. Thu nhập khác,IS_031,"Thu nhập khác, ròng","Other income, net"
13. Chi phí khác,IS_032,     Thu nhập khác,Other income
14. Lợi nhuận khác(40=31-32),IS_040,     Chi phí khác,Other expenses
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),IS_050,Lãi/(lỗ) ròng trước thuế,Net profit/(loss) before tax
,IS_050.1,Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expense
16. Chi phí thuế TNDN hiện hành,IS_051,     Thuế thu nhập doanh nghiệp – hiện thời,Current corporate income tax
17. Chi phí thuế TNDN hoãn lại,IS_052,     Thuế thu nhập doanh nghiệp – hoãn lại,Deferred corporate income tax
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),IS_060,Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,IS_062,Lợi ích của cổ đông thiểu số,Non-controlling interests
19. Lợi nhuận sau thuế công ty mẹ,IS_061,Lợi nhuận của Cổ đông của Công ty mẹ,Profit of shareholders of the Parent Company
21. Lãi cơ bản trên cổ phiếu(*),IS_070,Lãi cơ bản trên cổ phiếu (VND),Basic earnings per share (VND)
22. Lãi suy giảm trên cổ phiếu (*),IS_071,Lãi trên cổ phiếu pha loãng (VND),Diluted earnings per share (VND)
1. Lợi nhuận trước thuế,CF_001,Lợi nhuận/(lỗ) trước thuế,Profit/(loss) before tax
- Khấu hao TSCĐ và BĐSĐT,CF_002,Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and investment property
- Các khoản dự phòng,CF_003,Chi phí dự phòng,Provision expenses
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",CF_004,Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Foreign exchange gain/loss from revaluation of monetary items denominated in foreign currencies
"- Lãi, lỗ từ hoạt động đầu tư",CF_005,(Lãi)/lỗ từ hoạt động đầu tư,(Gain)/loss from investing activities
- Chi phí lãi vay,CF_006,Chi phí lãi vay,Interest expense
- Các khoản điều chỉnh khác,CF_007,Các khoản điều chỉnh khác,Other adjustments
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,CF_008,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Profit/(loss) from operating activities before changes in working capital
"- Tăng, giảm các khoản phải thu",CF_009,     (Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables
"- Tăng, giảm hàng tồn kho",CF_010,     (Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",CF_011,     Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables
"- Tăng, giảm chi phí trả trước",CF_012,     (Tăng)/giảm chi phí trả trước,(Increase)/decrease in prepaid expenses
"- Tăng, giảm chứng khoán kinh doanh",CF_013,     (Tăng)/giảm chứng khoán kinh doanh,(Increase)/decrease in trading securities
- Tiền lãi vay đã trả,CF_014,     Tiền lãi vay đã trả,Interest paid
- Thuế thu nhập doanh nghiệp đã nộp,CF_015,     Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid
- Tiền thu khác từ hoạt động kinh doanh,CF_016,     Tiền thu khác từ hoạt động kinh doanh,Other cash receipts from operating activities
- Tiền chi khác cho hoạt động kinh doanh,CF_017,     Tiền chi khác cho hoạt động kinh doanh,Other cash payments for operating activities
Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_020,Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh,Net cash flow from operating activities
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",CF_021,Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flow from investing activities
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",CF_022,"     Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",Payments for purchases of fixed assets and other long-term assets
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",CF_023,"     Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",Proceeds from disposals of fixed assets and other long-term assets
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",CF_024,"     Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",Payments for loans and purchases of debt instruments of other entities
5.Tiền chi đầu tư góp vốn vào đơn vị khác,CF_025,"     Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",Collections of loans and proceeds from sales of debt instruments of other entities
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,CF_026,     Tiền chi đầu tư góp vốn vào đơn vị khác,Payments for investments in other entities
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",CF_027,     Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Proceeds from divestments in other entities
Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_030,"     Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Collections of interest, dividends and profit"
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",CF_031,Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash flow from financing activities
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",CF_032,"     Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",Proceeds from issuance of shares and receipt of capital contributions from owners
3.Tiền thu từ đi vay,CF_033,"     Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",Payments to repurchase equity or to redeem shares
4.Tiền chi trả nợ gốc vay,CF_034,     Tiền thu được các khoản đi vay,Proceeds from borrowings
5.Tiền chi trả nợ gốc thuê tài chính,CF_035,     Tiền trả nợ gốc vay,Repayments of borrowings
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",CF_036,     Tiền trả nợ gốc thuê tài chính,Payments of finance lease liabilities
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,CF_037,"     Cổ tức, lợi nhuận đã trả cho chủ sở hữu",Dividends and profit paid to owners
Lưu chuyển tiền thuần từ hoạt động tài chính,CF_040,     Tiền lãi đã nhận,Interest received
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),CF_050,Lưu chuyển tiền thuần trong kỳ,Net cash flow during the period
Tiền và tương đương tiền đầu kỳ,CF_060,Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at the beginning of the period
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,CF_061,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Effect of exchange rate changes on foreign currency translation
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),CF_070,Tiền và tương đương tiền cuối kỳ,Cash and cash equivalents at the end of the period
Tổng chi phí hoạt động,IS_027,Tổng chi phí hoạt động,Total Operating Cost
